dt,x,z,theta,vx,vz,wy,gim_real,gim_rate,T,gimbal
0.38746930330547014,1.4006531599060335,141.53558731418988,0.06116580780370569,-0.10101442956103068,-10.840467482290649,1.6974273707057282e-16,-0.2617990310047713,-0.016360701609506725,56308.15258616542,-0.01664078957517798
0.6999996106074403,1.156925839770693,137.41368489766685,0.05806557942224245,-1.3774141449532744,-10.554838785537621,-0.020600440996688237,-0.014062491896426315,-0.045120993004654955,56333.519192907675,-0.018309372019471547
0.6999995984513709,0.012158081983504532,130.3759325626841,0.042963888497935955,-1.993621885335953,-9.564162572995738,-0.024982539475318036,0.004469484752254475,-0.045524248168131096,56210.18888465622,-0.0005114676997684009
0.6999996056822133,-1.4706174949640287,124.03017918117804,0.025778650143371242,-2.3297061564450203,-8.572806430472808,-0.026332492826167207,0.018107483878483283,-0.026877922300629527,55872.409158071634,0.015226966637931966
0.6999996092426546,-3.104221521136095,118.36338991174331,0.00837373501489777,-2.3803884699979885,-7.6190545015855955,-0.024717201224953106,0.026597626043976374,-0.01751891098945405,55300.16420771527,0.02463140342038679
0.6999996083077086,-4.7052119234193714,113.33546692288179,-0.00746845708437999,-2.2140959779074807,-6.746237704883949,-0.021368534115475693,0.03148666036642516,-0.008990582884676648,54469.802869507,0.030384918816973718
0.6999996008694594,-6.138366793699674,108.87609766537605,-0.020741586945272523,-1.8827783335483201,-5.994742703017579,-0.016939280058953815,0.033321979690912884,-0.002076923299874519,53357.78869002312,0.03292622236279223
0.6999995873303531,-7.305796801101422,104.88651735370775,-0.030863524334281082,-1.4421516613486132,-5.404682799848049,-0.012021272502600523,0.03271936017374467,0.0033861196308018877,51942.275286415046,0.03288893191734246
0.6999995696905021,-8.147877619992377,101.23944356090887,-0.03762748942689317,-0.9449117497496549,-5.016884604438437,-0.007088019608016542,0.030244649150220505,0.007498351721410863,50203.046776746865,0.03084845552298651
0.6999995520508164,-8.639988439410146,97.77827992919921,-0.041120489070602825,-0.43762864034757026,-4.873994817764863,-0.00249937901382767,0.02642391424582238,0.01035590585111934,48120.58337755122,0.02734059614639725
0.6999995411427974,-8.787370917918691,94.31556346214145,-0.041645489204061706,0.04161323454428213,-5.02146600819973,0.0014946704436694868,0.021748733601496335,0.012036967747058478,45674.71824001731,0.022861611875760777
0.6999995455752639,-8.618669036214055,90.63077406391557,-0.039647237250698145,0.4646467197687527,-5.508328344450446,0.004747821454492267,0.016659100421942505,0.012693750377844001,42843.19800340428,0.01785713113514615
0.6999995724325483,-8.178848204964911,86.4676637605262,-0.03564450338605139,0.8137933642624418,-6.387748827196079,0.007209647309176283,0.011469319186102816,0.012717716739766504,39600.33885109213,0.01284675058790238
0.00010017230037853319,-7.521793902413979,81.53122185934664,-0.030164310028990733,1.0802282923501298,-7.717319917356235,0.008887592384043594,0.007557238504919289,0.007893328350159516,35915.93411605616,1.2103689314062316e-06
0.0001001722939017404,-7.521685692101854,81.53044878445277,-0.03016341973296952,1.0802554286571995,-7.717583563146596,0.008887701145870298,0.007558027893950465,0.007867300241890174,35915.93404795742,1.2101835105837592e-06
0.00010017228876897206,-7.52157747907842,81.52967568319889,-0.030162529426110335,1.080282564888964,-7.717847208918501,0.008887809919030864,0.00755881467671152,0.007841293617205022,35915.93398721128,1.2099980772074824e-06
0.00010017228462970922,-7.521469263342234,81.52890255557459,-0.030161639108400123,1.0803097010439124,-7.718110854675268,0.008887918703489288,0.007559598855364676,0.00781530846291352,35915.93393381775,1.2098126270221258e-06
0.0001001722812635341,-7.521361044892231,81.52812940157226,-0.030160748779828928,1.0803368371204403,-7.718374500419293,0.008888027499209215,0.00756038043206801,0.007789344765923413,35915.933887776824,1.2096271573480865e-06
0.00010017227854274177,-7.521252823727584,81.5273562211859,-0.030159858440388772,1.080363973116885,-7.718638146152394,0.008888136306154083,0.007561159408976507,0.007763402513206679,35915.933849088506,1.209441666628503e-06
0.00010017227640306152,-7.521144599847608,81.52658301441056,-0.030158968090072794,1.0803911090315508,-7.718901791876052,0.008888245124287215,0.007561935788242798,0.007737481691775293,35915.9338177528,1.2092561540746952e-06
0.00010017227482090199,-7.521036373251679,81.52580978124175,-0.030158077728874723,1.0804182448627262,-7.7191654375915775,0.008888353953571902,0.007562709572017677,0.007711582288664667,35915.93379376969,1.2090706193907325e-06
0.0001001722737958424,-7.5209281439392095,81.52503652167512,-0.030157187356788483,1.0804453806086942,-7.71942908330022,0.008888462793971439,0.007563480762450417,0.007685704290923071,35915.93377713919,1.2088850625616133e-06
0.00010017227333734912,-7.520819911909601,81.52426323570644,-0.030156296973808012,1.0804725162677398,-7.719692729003229,0.008888571645449143,0.007564249361688947,0.007659847685605611,35915.93376786128,1.2086994836926535e-06
0.00010017227345491572,-7.520711677162252,81.52348992333133,-0.030155406579927168,1.0804996518381516,-7.7199563747018765,0.00888868050796838,0.007565015371879938,0.00763401245977166,35915.93376593598,1.2085138828903734e-06
0.00010017227415101053,-7.520603439696549,81.52271658454531,-0.030154516175139725,1.0805267873182223,-7.72022002039746,0.008888789381492557,0.007565778795168788,0.007608198600484851,35915.933771363285,1.2083282601773786e-06
0.00010017227541637404,-7.520495199511878,81.52194321934391,-0.030153625759439435,1.080553922706247,-7.720483666091288,0.00888889826598511,0.007566539633699581,0.007582406094814877,35915.93378414319,1.2081426154356951e-06
0.00010017227722734852,-7.520386956607627,81.52116982772277,-0.03015273533282014,1.0805810580005197,-7.720747311784639,0.008889007161409498,0.007567297889614993,0.0075566349298404984,35915.93380427569,1.2079569483746755e-06
