dt,x,z,theta,vx,vz,wy,T,gimbal
0.69986810569347,-3.191265020150027,148.74037108584423,0.00685408757353444,0.6250112090327113,-10.204619369641412,1.9702327532126157e-20,28000.029108979586,-0.007037134121384808
0.6989642304776185,-2.7728464735383,140.56729182791807,0.006661062766445933,0.5708217222381359,-13.151434671999214,-0.0005516033821751191,28000.06973376378,-0.0028037500168716085
0.2789947352453357,-2.3866163845204453,130.34645351119386,0.006198804250092768,0.5346296255553377,-16.094231695244417,-0.0007710923902173916,28000.018125463666,-0.00022232997859054297
0.18499575635953147,-2.238841325286079,125.69239422703365,0.005982704411070493,0.5247660555590108,-17.26882965796008,-0.0007780396307309471,28000.015207300494,8.207998970223486e-05
0.699998856302249,-2.14232266491623,122.42569211393482,0.005838927688482183,0.5187276815951432,-18.04767882848351,-0.0007763389714342001,34025.83522341825,0.001901398379760219
0.699999497560535,-1.7854943545686641,109.05614406526666,0.005358893785595099,0.5011645553126708,-20.151090884032698,-0.0005951887062619221,40286.32327647767,0.003923499996600594
0.6999996986878991,-1.4372897388083314,94.52096929499183,0.0050971634919207585,0.49395251932893136,-21.378009375598097,-0.00015261266955751514,46520.950083252435,0.004790832460388295
0.6999997946946716,-1.0922232208551668,79.43244572451593,0.005208750241856192,0.49183111594765455,-21.73207656903939,0.0004714320923218256,52727.39717983397,0.004158964390461393
0.6999998500895744,-0.7510305516370035,64.40018708117569,0.005753657404025027,0.48233496600731535,-21.217247323686102,0.001085445970496792,58929.53282853764,0.0020016582718979806
0.6999998858055835,-0.42501714863290563,50.03219059751095,0.006629066945056373,0.4479284023037967,-19.83418503571473,0.0014157246823807061,65160.30458983972,-0.0013410845629502675
0.6999999057671241,-0.13792368613240225,36.9375583123872,0.0075344363456355265,0.37096228625459304,-17.579067762191414,0.001171045455552173,69999.78585793184,-0.005026633570711508
0.6999999058242881,0.07792664638793327,25.65847175252219,0.008009343591065688,0.24497741671759848,-14.646908102910091,0.00018583257119474017,69999.96029595523,-0.0074226534514725
0.00010015106533947409,0.19662355195858688,16.43177899912516,0.007630237448179686,0.09477577915700917,-11.715065301313704,-0.0012689931251653422,28000.010867847646,-4.922788752566096e-07
