dt,x,z,theta,vx,vz,wy,T,gimbal
0.6999997000213127,0.714025946899135,148.5777810935023,0.013629503219628912,-0.5878035357209965,-9.37335749728536,2.792819991115333e-29,28000.000734989226,-0.14293697780199
0.00010070113458701784,0.08951416901559504,140.96834146149223,0.009720657859085748,-1.1939932811109,-12.367514637822651,-0.011168134387555173,28000.010843840744,-1.26633467853563e-05
0.6999984914817029,0.08939393226114478,140.96709601738868,0.009719533215274509,-1.1939987695856025,-12.367938616090074,-0.01116813453037913,28000.000856876515,-0.06709868402505272
0.00010619140047844461,-0.8477090752762363,131.27436388699715,6.205714034076603e-05,-1.4771509940737448,-15.325187610511575,-0.016424713718455067,28000.010847858488,-5.0549305018608e-06
0.00010619139350664434,-0.8478659360111158,131.27273646012495,6.031297698535363e-05,-1.4771510334648166,-15.325634676078504,-0.016424713778575586,28000.01084785926,-5.053863083775674e-06
0.00010619138653559052,-0.8480227967398248,131.27110898588506,5.856881373806744e-05,-1.4771510718180456,-15.326081741616015,-0.01642471383868341,28000.010847860038,-5.052795724568665e-06
0.00010619137956528398,-0.8481796574622542,131.26948146427748,5.682465059889655e-05,-1.4771511091334326,-15.326528807124111,-0.01642471389877853,28000.01084786081,-5.051728424238466e-06
0.00010619137259572555,-0.8483365181782948,131.26785389530227,5.508048756783005e-05,-1.4771511454109774,-15.326975872602796,-0.016424713958860956,28000.010847861584,-5.05066118278375e-06
0.00010619136562691378,-0.8484933788878377,131.26622627895935,5.333632464485698e-05,-1.4771511806506807,-15.327422938052079,-0.016424714018930683,28000.01084786236,-5.0495940002031805e-06
0.593069788309177,-0.8486502395907737,131.26459861524881,5.159216182996645e-05,-1.4771512148525423,-15.327870003471963,-0.016424714078987716,28000.001310496355,-0.01425611605984849
0.0008914223651189322,-1.7355507849221619,121.43364425330529,-0.009970202465037024,-1.508182546307684,-17.82485253611972,-0.017371627682093452,28000.01077016911,3.5805311462386923e-07
0.0008913756164705694,-1.736895190384045,121.41775310811605,-0.009985687922596959,-1.5081327357684666,-17.82860567087118,-0.0173716276463516,28000.010770226505,4.1167832512862333e-07
0.0008913275473803644,-1.7382394809138193,121.40185945132862,-0.01000117256802836,-1.5080828502897383,-17.832358609572346,-0.01737162760525522,28000.01077028405,4.652646577831325e-07
0.00089127782551359,-1.739583654456506,121.38596330697035,-0.010016656378370677,-1.5080328899567939,-17.83611134666489,-0.017371627558808403,28000.010770341778,5.188147671469168e-07
0.0008912252365712201,-1.7409277084535177,121.3700647048215,-0.010032139324887083,-1.5079828548696377,-17.83986387519129,-0.017371627507017377,28000.010770399815,5.723308702523945e-07
0.000891168430077525,-1.7422716385122183,121.3541636961432,-0.010047621357735004,-1.5079327451922984,-17.843616183081537,-0.017371627449888637,28000.010770458226,6.258113609952384e-07
0.39607865354090377,-1.74361543820357,121.3382603563372,-0.010063102403599315,-1.507882561165594,-17.84736825257972,-0.017371627387424794,28000.00244076157,0.005328527754391725
0.6999926804505281,-2.3330910121032518,113.939000782051,-0.016896821305326177,-1.466149805332353,-19.51525614611846,-0.017135250682439193,28000.002336726913,0.028352157225502266
0.0001049319766898375,-3.2920246553416206,99.24537623460148,-0.028113508594668796,-1.2663706067118343,-22.467339790240214,-0.014912762397135725,28000.01085980722,5.3356277630201715e-06
0.00010493197860660272,-3.2921575372457985,99.2430186690366,-0.02811507342030174,-1.266354085254079,-22.467781785938094,-0.01491276233442937,28000.010859807917,5.335916451893827e-06
0.00010493198052375885,-3.2922904174187257,99.24066105704917,-0.02811663824595669,-1.2663375628766944,-22.468223781669895,-0.014912762271719617,28000.010859808608,5.336205104609178e-06
0.00010493198244130493,-3.292423295860307,99.23830339863913,-0.02811820307163365,-1.26632103957968,-22.468665777435643,-0.014912762209006473,28000.010859809303,5.336493721167434e-06
0.00010493198435924157,-3.2925561725704453,99.23594569380656,-0.02811976789733263,-1.2663045153630361,-22.46910777323533,-0.014912762146289936,28000.01085981,5.336782301569915e-06
0.6999965031236324,-3.2926890475490462,99.23358794255138,-0.02812133272305362,-1.266287990226762,-22.46954976906895,-0.014912762083570008,28000.006778112205,0.040628915157469594
0.00010331774904232197,-4.080328397721188,82.46997955852979,-0.03744567415944795,-0.9780459513729168,-25.427160268861673,-0.011728346535646845,28000.010864341628,6.418240819625809e-06
0.00010331775101828084,-4.080429446108197,82.46735245907537,-0.037446885905808164,-0.9780242870706127,-25.427595642101362,-0.011728346461377577,28000.010864342275,6.418314737402365e-06
0.0001033177529944453,-4.080530492258794,82.46472531458893,-0.03744809765218389,-0.9780026220672514,-25.428031015375634,-0.011728346387107456,28000.010864342923,6.418388629224978e-06
0.0001033177549708156,-4.080631536172909,82.46209812507047,-0.03744930939857512,-0.977980956362833,-25.428466388684484,-0.011728346312836476,28000.01086434357,6.4184624950948665e-06
0.00010331775694739119,-4.080732577850468,82.45947089051994,-0.03745052114498183,-0.9779592899573571,-25.428901762027927,-0.011728346238564637,28000.01086434422,6.418536335013187e-06
0.00010331775892417215,-4.0808336172914,82.45684361093736,-0.03745173289140407,-0.9779376228508242,-25.429337135405945,-0.011728346164291947,28000.010864344866,6.418610148981159e-06
0.00010331776090115884,-4.080934654495632,82.45421628632269,-0.037452944637841816,-0.9779159550432339,-25.42977250881855,-0.0117283460900184,28000.010864345517,6.418683937000009e-06
0.00010331776287835132,-4.081035689463093,82.45158891667595,-0.037454156384295084,-0.9778942865345864,-25.430207882265748,-0.011728346015743997,28000.010864346164,6.418757699070935e-06
